scenario,round,accuracy
baseline,1,75.63206919494344
baseline,2,75.06653359946773
baseline,3,65.0088711465957
baseline,4,76.14216012419605
baseline,5,77.40075404746064
baseline,6,78.95874916833
baseline,7,77.15125304945664
baseline,8,76.94610778443113
baseline,9,77.70015524506543
baseline,10,45.70303836770903
attack_label_flipping,1,75.07762253271235
attack_label_flipping,2,43.42980705256154
attack_label_flipping,3,53.52628077178976
attack_label_flipping,4,46.09115103127079
attack_label_flipping,5,58.44976713240186
attack_label_flipping,6,46.09115103127079
attack_label_flipping,7,73.67487247726768
attack_label_flipping,8,43.74029718341096
attack_label_flipping,9,71.40718562874251
attack_label_flipping,10,43.42980705256154
attack_backdoor,1,56.719893546240854
attack_backdoor,2,80.00665335994677
attack_backdoor,3,56.719893546240854
attack_backdoor,4,76.00354845863828
attack_backdoor,5,56.719893546240854
attack_backdoor,6,78.4985584386782
attack_backdoor,7,57.54601907296518
attack_backdoor,8,82.92858726990464
attack_backdoor,9,73.24240408072744
attack_backdoor,10,56.76979374584165
defended_label_flipping,1,75.02772233311156
defended_label_flipping,2,74.90574406742071
defended_label_flipping,3,70.99689509869151
defended_label_flipping,4,75.39920159680639
defended_label_flipping,5,77.20115324905744
defended_label_flipping,6,75.38256819693946
defended_label_flipping,7,77.14570858283433
defended_label_flipping,8,75.74850299401197
defended_label_flipping,9,79.44666223109337
defended_label_flipping,10,79.24151696606786
defended_backdoor,1,56.875138611665555
defended_backdoor,2,75.92592592592592
defended_backdoor,3,75.60434686183189
defended_backdoor,4,74.97782213351076
defended_backdoor,5,78.16589044133954
defended_backdoor,6,80.30051009092925
defended_backdoor,7,77.16788644932357
defended_backdoor,8,75.3049456642271
defended_backdoor,9,77.45619871368375
defended_backdoor,10,78.79241516966069
